,content,sentiment
106, i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,sadness
107, THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,hate
108,ahh! big scary bug flying around my room!!!!!,worry
109,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",sadness
110,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,worry
111,  That was stone cold   Crazy....  ?,neutral
112,i'm so tired,boredom
113,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,neutral
114, I'm sure some1 will cum out and play. I'm workin through til midnight.,neutral
115, I second that. I wish it rained more where I am,neutral
116, early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,sadness
117,damn it were is Eric or anyone else when you need your hair to be played with,neutral
118,I'm feel deflated. Ugh. No more dog.,neutral
119,Allergies suck ducks nuts.     &lt;=====8=====&gt;,sadness
120,Well it almost was a good day... Guess I just retry tomorrow,neutral
121, Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,hate
122, sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,love
123," He died.  Wait, what about Magic Jack? I just read it.",worry
124,  youstinkatrespondingtotexts!,hate
125,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,sadness
126,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",happiness
127,Is miserable  i feel like im gona cry  sux!,sadness
128, well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,neutral
129,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,worry
130,"claire  love the show, got into the office @ 5am and no radio",neutral
131,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,love
132,*sigh* I'm going to bed... I just don't feel right anymore...,sadness
133,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,neutral
134, EpiCentre Wheelock Place - tourists only..,neutral
135,Now I am depressed after watching so you think you can dance,sadness
136,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",sadness
137,miss 16'th,neutral
138," I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",neutral
139,"I cant sleep, but im too sore to move",worry
140, http://twitpic.com/4phze - Awe! I miss my baby,neutral
142,what is it with chocolates? i just can never say no,neutral
143,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,worry
144, i'm too awake now  ill have a nap this afternoon,neutral
145, i cant do anything,worry
146,still needs another 6 hours of sleep,neutral
147,I'm at work,relief
148,RIP leonardo. You were a great mini fiddler crab,fun
149,"Morning tweeple,way to early again",neutral
150,"Last day working for the Uni today, sad times",sadness
151," thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",love
152,My head hurts so bad I could scream!,worry
153,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,worry
154,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,worry
155,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,worry
156,"where are all ma bestfriends at ? , MIA or wat ?",neutral
157,oh men!!!!!!......I really can't see my face........c'mon guys!!!,worry
158,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",worry
159,my sole supporter is not my sole supporter,worry
160,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,hate
161, urgh stop it guys,worry
162,is still missing her husband.    I really want him home.,sadness
163,I miss my puppy,sadness
164,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",surprise
165, Up is out?  I didn't get the memo   It looks amazing.,fun
166, I've given up on pizza - kids would never let me have my fav  (the hot ones),sadness
167,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,worry
168, yearling in pet home died... very sad for their whole family,sadness
169,fun in the sun hmmm hell no it's cold,neutral
170,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,worry
171," We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",sadness
172,is feeling sad... for some reason..  http://plurk.com/p/wxji3,worry
173,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,sadness
174,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness
175, i don't think so.  I WANT DETAILS.,neutral
176, Hi...!!! Who is Mary Poppins???,neutral
177," Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",worry
178,my last tweet didn't send  bad phone,neutral
179,  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,fun
181,  I was watching Parental Control,neutral
182," did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",fun
183,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sadness
184, it wont let me,worry
185,Took a shift tomorrow.    I don't really feel like working right now.,sadness
186,but now i have no money for a phone,sadness
187,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,worry
188, 9 days  I'm about ready to visit Torchwood and see if they've heard anything,worry
189, where are you? In Bris? I can't hear any thunder,surprise
190,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",surprise
191,Too bad the Red Devils.. disappointing to say the least,sadness
192,I had a dream about a pretty pretty beach and there was no beach when I woke up,surprise
193," Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",sadness
194,when da heck will the garage man get here I ask you.. WHEN..,surprise
195,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",worry
196, Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,hate
197,why are plane tickets so expensive,worry
198,()  Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,fun
199,Needs a job BADLY!!!,worry
200, daaammmnnnnn I do wish I was there.,sadness
201,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,worry
202, I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,sadness
204,is a bad friend,sadness
205, happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,neutral
206, im doing that shit right now ... im on vacation and you got me workin,hate
207, ill be over in an oir,neutral
208, guess its a no go girlie. I'm still at the gym and work at 6:30am,neutral
209,would wish the severe migrains would stop!!! doc's prescriptions arent working,hate
210, i missed the game,love
211," No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",sadness
212, cuz airlines are super lame.,hate
213, - Still a pity it comes with no lamb though,sadness
214,  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,sadness
215,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",relief
216,I'm so very tired...and have insomnia.,hate
217, A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,neutral
218, airport? and you didnt show up tonight homo!,neutral
219,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",hate
220, what about me,neutral
221,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",neutral
222,people in my house do not know how to close doors,worry
223,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,surprise
224,out with  &amp;  i am soooo hungry,neutral
225, I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,worry
226,Had to cancel wow for now,sadness
227,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,worry
228, But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,sadness
229,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",worry
230, oh no  i am always here ;) &lt;3,worry
231,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,neutral
232,@ poll : was trying to get it to work in a powerpoint to no avail.,neutral
233,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",happiness
234,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",happiness
235," yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral
236,Up late with nothin 2 do.....,sadness
237,i think the vog is making me sicker than i think. feeling slightly achy,worry
239,i am doing homework it sux big time maths is the worst!!!!!!,worry
240," would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",neutral
241,#3wordsaftersex it never started...,neutral
242,sometimes i wish things could go back to the way they were the beginning of last summer,sadness
243,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",worry
245," I feel the same way, but I guess no matter where you are there will always be memes.",sadness
246,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",happiness
247,i'm sooooooooooooo confused,worry
248,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",neutral
249,"Work day 7 of 7,",worry
250,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,happiness
251,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",neutral
252," No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",worry
253, no im not  cries LOL,neutral
254,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,sadness
255," EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",surprise
256,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,hate
257,Come on Knight... It's been well over 4 hours,neutral
258,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,worry
259, aw u can't let me in on the secret!,surprise
260," Im sorry  I don't think I stick out, at least compared to what I used to look like.",surprise
261,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",worry
262,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",hate
263,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,hate
264,twittascope is NOT rocking my socks - go away already!!,neutral
265,Driving Back home because I forgot the piece of cake for ,neutral
266, so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,worry
267,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",sadness
268,It's pissing me off and not letting me follow ericka,sadness
269,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,sadness
270,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,sadness
271, i was so close to the tacos...one spot too late,neutral
273,is thinking so much and i'm at work,surprise
274,I have forgot the live with the Jonas Brothers on Facebook,worry
275,I haven't seen Muffin in two whole days!,sadness
276, i'll miss y'all back... give  my regards...,sadness
277,my gap year is going so quick,surprise
278,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",worry
279, girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,neutral
280,my twitter has been hacked again,worry
281,Just found mj mouse flats at DJs. Of course there are none left in my size,sadness
282, i wont have time to buy  and i need a new binder pa,neutral
283,  hahaha well its try its so ugly,hate
284,25-man Ulduar is hard...,neutral
285," I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",worry
286, That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,fun
287,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],neutral
288, this is happening to me too,neutral
289, oh no.  *hugs*,surprise
290," bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",neutral
291, i knoww  things won't be the samee &lt;/3,sadness
292,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",worry
293, i kno i doooo!!!!!!!!!! yall partyin with out me,happiness
294,"Okay, so twitter suddenly changed, how do I respond to messages now",worry
295,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,neutral
296,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,worry
297,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,sadness
298,  YEA     I GOTTA BE UP AT 7:30,neutral
299,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,hate
300,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,worry
301,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,sadness
302,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,hate
303,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",neutral
304,  I wish I had Left 4 Dead. But first I'd need something to play it on...,sadness
305, me too,neutral
306, that story reminds of living in Portugal,neutral
307,"  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",neutral
308,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,happiness
309,my roommate  loves to ignore me,hate
310,  I'll make him nachos tomorrow. Better than if he would have made them himself.,neutral
311, yeahhh. &amp;dont judge my pillow,neutral
312,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",relief
313,my teeth and head hurts,sadness
314,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,sadness
315," Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",hate
316,Waiting in line @ tryst,boredom
317,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,worry
318,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,worry
319,I need to be held...  Gnite.,worry
320,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",worry
321,no more arrested development. i am sad.,sadness
322,"  wicked , what time you leaving? how come you cant stay the night",neutral
323,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,sadness
324,I feel so deflated. No more doggy.,sadness
325, i wanna see her hair  hows everyone?,worry
326,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",sadness
327,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sadness
328,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
329,Aww...  Pray for the arroyo family everyone!,worry
330, there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,neutral
331,Fuuudge. Movie store is closed,sadness
332,ALO is so sad and quiet and empty tonight,sadness
333," Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",hate
334, You never answered your DM I sent you....   I need your info...,worry
335,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,worry
336, Aw where are you headed to? i just cancelled my trip to Aussie,sadness
337,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,worry
338, I didn't think anyone caught that,worry
341,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,neutral
342,"lyin in bed, up faaaaar too early",neutral
343,Sad that Christian Lacroix had to file bankruptcy,sadness
344,I dont feel good AT ALL. fuckkk,sadness
345,why did i agree to work a double shift,boredom
346,looks like i'll never go to the zoo,worry
347, Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,worry
348,When will Medhurst play again?,neutral
349, bad times?,worry
350,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,hate
351,Have to go to the dreaded DMV tomorrow,sadness
352, I'm a bit Ben's Thai-ed out,neutral
353,english class! working on interactive orals,happiness
354, Thank you for the rec but that doesn't work,worry
355,  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,neutral
356,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,worry
357,I don't know how ima work out tomorrow wit my body dis sore  ugh,worry
358,in 7-11  w/o you,neutral
359," Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",neutral
360,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,worry
361,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sadness
362,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,worry
363,"Lady across the way had a miscarriage, say a prayer",worry
364,God I just want to sleep.,sadness
365, ohhhh thunderstorms...boo  why do they always have to make the power go out??,hate
366,I feel so deflated. No more doggy.,worry
367,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,sadness
368,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",hate
369,is feeling bad  just got bad news about my Mum,worry
370, But but I dun wanna,sadness
371, damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,sadness
372," dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",sadness
373, thats what i was thinking but the only time it's gonna be on is 1 am!,neutral
374,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",neutral
375,don't feel like working  I think I tweet this too often!,worry
376,feels sick to my stomach and idkk whyy,sadness
377,vineri...nimic special sau probabil un alt weekend pierdut...,worry
378,Counting the hours of lost sunshine until the Weekend,neutral
379, - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,surprise
380,is home.  safely... but hungry,relief
381," Um, I was thrown from 's van yesterday and had to be taken to the ER",sadness
382,"got to final table, but....went out third.  Don't think I'll be getting my free seat",worry
383,good morning work this morning gutted lol nevermind,neutral
384,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,hate
385,FB is boring   and i wanna sing RIGHT NOW..! *-*,happiness
386,  The link doesn't work,sadness
387, hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,neutral
388,The humpalow um ya I think so... Cell is dying,worry
389,Last day at work...Sick to the bone,worry
390,i feel like I'm on house arrest.,worry
391,"love is like a war,,easy to begin, hard to end..fiuuhh...",neutral
392, ur supposed to be in BK tho,surprise
393, Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,worry
394,Oh no!  Nighty night.,surprise
395, Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,happiness
396,my stupid tooooth hurts,sadness
397,: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,love
398,Ready To Go @ School,neutral
399, my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,sadness
400, It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,neutral
401,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,worry
402, I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,worry
403,my dog ran awayyy,worry
404, Those suck so bad.,hate
405,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",worry
406,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",relief
407,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,worry
408,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!,love
410,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,sadness
411,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,hate
412, heehee. i love you! i am tired.,sadness
413,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,worry
414, oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,worry
415," hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",worry
416,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",sadness
418,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",sadness
419,"  Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward...",relief
420, airport? and you didnt show up tonight homo!,neutral
421, jealous  it looks like schindler's list in toronto,worry
422,I want another tatt,enthusiasm
423, what?! Come as you are!!! But erock just left  bah D:,neutral
424,"So, I need to make a lot of money tomorrow",enthusiasm
425,  being in your room makes me sad.,sadness
426,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",worry
427,for the gays i only made 200 tonight,neutral
428, oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,sadness
